CAG3	51.626111	-124.141944	CAG3
CAH3	49.679444	-124.981667	CAH3
CAH4	52.852750	-119.336261	CAH4
CAJ2	66.492236	-136.573728	CAJ2
CAJ3	49.036606	-116.498000	CAJ3
CAJ4	52.451275	-125.303597	CAJ4
CAJ7	50.453667	-113.747325	CAJ7
CAJ9	57.429411	-125.649367	CAJ9
CAK3	49.078611	-122.938056	CAK3
CAL3	50.166667	-120.183333	CAL3
CAL4	57.223956	-111.418936	CAL4
CAL8	46.884444	-75.332778	CAL8
CAM3	48.754775	-123.709850	CAM3
CAM5	54.433333	-126.783333	CAM5
CAN5	51.765278	-106.068056	CAN5
CAP2	44.179592	-80.951350	CAP2
CAP3	49.460122	-123.716303	CAP3
CAP6	56.790556	-124.896667	CAP6
CAP9	50.993889	-113.371944	CAP9
CAQ4	51.955556	-122.139444	CAQ4
CAQ5	50.266783	-117.812983	CAQ5
CAR4	44.483056	-78.736944	CAR4
CAS2	53.073333	-125.409167	CAS2
CAT1	43.683333	-81.004444	CAT1
CAT4	49.337297	-124.393878	CAT4
CAT5	50.571111	-127.024722	CAT5
CAU3	49.173333	-119.551111	CAU3
CAU4	54.046739	-124.011186	CAU4
CAV3	51.642500	-121.306944	CAV3
CAV4	53.314844	-120.169742	CAV4
CAV6	50.041111	-96.585833	CAV6
CAV9	50.137778	-97.061389	CAV9
CAX5	52.616667	-121.500000	CAX5
CAY5	43.305833	-80.499167	CAY5
CAZ5	50.775039	-121.321208	CAZ5
CBA7	42.916350	-82.206297	CBA7
CBA8	53.855556	-122.907500	CBA8
CBA9	56.270742	-124.063858	CBA9
CBB2	43.993211	-79.267050	CBB2
CBB6	56.395164	-129.945086	CBB6
CBB9	49.037222	-119.488889	CBB9
CBBC	52.185117	-128.156786	CBBC
CBC2	66.037500	-124.715000	CBC2
CBD6	61.029586	-123.388350	CBD6
CBD8	50.644936	-114.202942	CBD8
CBE2	49.283333	-115.150000	CBE2
CBF3	44.079039	-79.810561	CBF3
CBF9	50.608889	-118.731111	CBF9
CBG2	51.429444	-121.209722	CBG2
CBH2	59.425772	-120.797517	CBH2
CBH4	61.564722	-124.815000	CBH4
CBH5	42.714444	-80.745000	CBH5
CBH7	52.225833	-114.255833	CBH7
CBI2	55.697306	-117.939222	CBI2
CBJ4	51.241667	-121.994167	CBJ4
CBJ6	60.333333	-123.833333	CBJ6
CBK6	52.515000	-121.045000	CBK6
CBK7	58.849444	-125.240000	CBK7
CBL3	58.816667	-122.783333	CBL3
CBL6	50.633333	-116.100000	CBL6
CBL8	45.030722	-79.618083	CBL8
CBL9	51.512778	-123.804444	CBL9
CBM2	44.094806	-78.736250	CBM2
CBM3	46.338383	-83.711083	CBM3
CBM6	49.010000	-118.789722	CBM6
CBN9	56.907022	-124.966050	CBN9
CBQ2	49.167783	-122.557403	CBQ2
CBQ7	56.974306	-126.740917	CBQ7
CBQ8	55.066667	-128.233333	CBQ8
CBR2	49.903611	-116.935278	CBR2
CBR3	49.616828	-102.768069	CBR3
CBR9	51.412708	-114.580181	CBR9
CBS2	49.294111	-103.020667	CBS2
CBS4	59.774722	-136.594722	CBS4
CBS7	50.066389	-105.300556	CBS7
CBS8	49.321058	-124.929553	CBS8
CBT3	52.971944	-125.026667	CBT3
CBV6	59.750000	-121.833333	CBV6
CBW2	54.163889	-128.580833	CBW2
CBW3	56.521667	-124.468333	CBW3
